Casa_Goals_FT_Media5;Casa_Goals_FT_Media10;Casa_Goals_FT_Media15;Casa_Shots_Media5;Casa_Shots_Media10;Casa_Shots_Media15;Casa_ShotsOnTarget_Media5;Casa_ShotsOnTarget_Media10;Casa_ShotsOnTarget_Media15;Casa_Corners_FT_Media5;Casa_Corners_FT_Media10;Casa_Corners_FT_Media15;Fora_Goals_FT_Media5;Fora_Goals_FT_Media10;Fora_Goals_FT_Media15;Fora_Shots_Media5;Fora_Shots_Media10;Fora_Shots_Media15;Fora_ShotsOnTarget_Media5;Fora_ShotsOnTarget_Media10;Fora_ShotsOnTarget_Media15;Fora_Corners_FT_Media5;Fora_Corners_FT_Media10;Fora_Corners_FT_Media15;Time_Casa;Time_Fora;Liga;Data;Horario;Prev_Goals_FT_Casa;Prev_Goals_FT_Fora;Prev_Shots_Casa;Prev_Shots_Fora;Prev_ShotsOnTarget_Casa;Prev_ShotsOnTarget_Fora;Prev_Corners_FT_Casa;Prev_Corners_FT_Fora;Alerta
0.8;0.8;0.7333333333333333;4.2;5.6;5.666666666666667;1.6;2.4;2.2666666666666666;3.2;4.1;3.6;0.4;1.0;1.0666666666666667;10.2;12.6;11.933333333333334;2.8;4.4;4.333333333333333;4.8;4.7;5.466666666666667;Bnei Sakhnin;Beitar Jerusalem;Israel 1;2025-08-25;14:00:00;0.3861190476190476;0.29271428571428565;2.77;6.5;0.96;1.08;2.38;2.62;Normal
0.2;0.4;0.4666666666666667;11.0;10.9;9.866666666666667;3.0;3.0;2.7333333333333334;3.4;4.1;4.0;1.2;1.4;1.7333333333333334;10.6;12.8;11.133333333333333;4.0;5.6;5.0;4.2;4.6;4.533333333333333;Estrela Amadora;Alverca;Portugal 1;2025-08-25;16:15:00;0.133;0.6201666666666666;13.68;11.66;2.48;4.0;4.87;3.08;Mais de 7,5 Escanteios, Chutes Casa Altos
1.6;1.4;1.2;13.0;12.3;12.466666666666667;4.2;4.8;4.6;6.4;4.8;5.133333333333334;0.8;1.0;0.6666666666666666;14.2;12.0;11.6;3.8;3.6;3.533333333333333;4.2;3.2;3.1333333333333333;Pau;Reims;France 2;2025-08-25;15:45:00;1.3831666666666667;1.2066666666666668;10.92;14.82;3.52;4.81;9.43;3.4;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Fora Altos
2.0;1.8;1.8666666666666667;11.2;13.2;13.533333333333333;4.0;5.1;5.066666666666666;5.8;5.6;5.4;2.2;1.8;1.6666666666666667;12.4;12.8;12.666666666666666;6.2;5.7;5.2;4.2;5.3;5.333333333333333;Albacete Balompié;Racing Santander;Spain 2;2025-08-25;14:30:00;2.9723333333333333;2.549666666666666;16.0;9.01;4.72;5.507333333333333;5.996666666666667;3.29;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Casa Altos, Chutes no Alvo Fora Altos
2.0;1.8;1.8666666666666667;11.2;13.2;13.533333333333333;4.0;5.1;5.066666666666666;5.8;5.6;5.4;2.2;1.8;1.6666666666666667;12.4;12.8;12.666666666666666;6.2;5.7;5.2;4.2;5.3;5.333333333333333;Albacete Balompié;Racing Santander;Spain 2;2025-08-25;14:30:00;2.9723333333333333;2.549666666666666;16.0;9.01;4.72;5.507333333333333;5.996666666666667;3.29;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Casa Altos, Chutes no Alvo Fora Altos
1.4;1.1;1.0;12.4;13.2;12.466666666666667;5.2;4.9;4.533333333333333;3.4;4.2;4.066666666666666;1.0;1.0;1.0666666666666667;8.6;10.8;10.4;2.4;3.8;3.533333333333333;3.4;3.9;3.7333333333333334;Sevilla Fc;Getafe Cf;Spain 1;2025-08-25;16:30:00;1.2448095238095236;1.6471547619047617;11.27;9.97;5.11;3.06;1.99;2.95;Mais de 1,5 Gols, Chutes no Alvo Casa Altos
1.0;0.6;0.8666666666666667;11.4;10.8;12.066666666666666;3.4;3.7;4.333333333333333;4.2;4.1;5.333333333333333;0.8;0.6;0.5333333333333333;7.0;8.3;8.466666666666667;2.0;1.7;2.2;2.8;3.7;3.7333333333333334;Udinese;Hellas Verona;Italy 1;2025-08-25;13:30:00;1.6228333333333333;1.4176666666666664;6.3;6.12;2.91;2.09;2.33;1.77;Mais de 1,5 Gols
1.2;0.8;0.7333333333333333;10.4;10.2;10.2;3.4;3.2;3.7333333333333334;3.0;2.9;3.6;1.0;0.7;0.6666666666666666;12.2;10.3;9.666666666666666;4.6;3.7;4.0;4.2;4.5;4.4;Utrecht Ii;Ajax Ii;Netherlands 2;2025-08-25;15:00:00;1.705;2.9139999999999997;10.31;11.03;3.065;6.42;2.33;2.84;Mais de 1,5 Gols, Chutes no Alvo Fora Altos
0.6;1.9;1.7333333333333334;14.2;14.5;12.933333333333334;5.0;5.1;4.266666666666667;6.2;6.3;5.6;2.0;2.1;1.9333333333333333;14.4;16.2;15.4;5.0;5.8;5.066666666666666;5.8;7.5;6.933333333333334;Newcastle United;Liverpool;England 1;2025-08-25;16:00:00;0.03;3.725;16.17;17.46;3.82;8.26;6.046666666666666;5.65;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Casa Altos, Chutes Fora Altos, Chutes no Alvo Fora Altos
2.0;1.6;1.8;10.6;10.9;11.733333333333333;5.2;4.0;3.933333333333333;4.6;4.4;4.133333333333334;0.2;0.6;1.0;12.4;10.9;10.266666666666667;3.0;3.1;3.3333333333333335;5.0;4.6;4.266666666666667;Inter Milan;Torino;Italy 1;2025-08-25;15:45:00;1.863666666666667;0.13;8.2;9.76;2.5525;3.030333333333333;4.699904761904762;2.79;Mais de 1,5 Gols
1.0;1.4;1.2666666666666666;18.2;17.5;16.0;5.8;5.7;5.333333333333333;5.4;6.7;6.733333333333333;0.2;0.8;0.8;10.0;10.4;9.6;2.8;3.1;3.066666666666667;5.2;4.9;4.333333333333333;Córdoba;Ud Las Palmas;Spain 2;2025-08-25;16:30:00;0.32619047619047614;0.735;16.64;10.01;6.93;2.53;3.68;2.58;Chutes Casa Altos, Chutes no Alvo Casa Altos
1.0;1.4;1.2666666666666666;18.2;17.5;16.0;5.8;5.7;5.333333333333333;5.4;6.7;6.733333333333333;0.2;0.8;0.8;10.0;10.4;9.6;2.8;3.1;3.066666666666667;5.2;4.9;4.333333333333333;Córdoba;Ud Las Palmas;Spain 2;2025-08-25;16:30:00;0.32619047619047614;0.735;16.64;10.01;6.93;2.53;3.68;2.58;Chutes Casa Altos, Chutes no Alvo Casa Altos
1.4;1.1;1.3333333333333333;10.6;9.6;11.2;2.6;2.5;3.6666666666666665;5.8;4.8;4.4;1.6;1.1;1.1333333333333333;15.4;13.9;13.866666666666667;5.2;5.0;5.266666666666667;7.0;5.9;5.533333333333333;Athletic Club Bilbao;Rayo Vallecano;Spain 1;2025-08-25;14:30:00;2.5916666666666663;1.4917857142857143;12.98;15.69;2.9;4.98;8.07;4.275;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Casa Altos, Chutes Fora Altos
1.8;1.8;1.9333333333333333;13.2;13.3;13.133333333333333;5.2;6.2;5.866666666666666;5.4;5.2;5.666666666666667;1.6;1.6;1.7333333333333334;14.0;14.6;15.0;5.0;5.2;5.266666666666667;6.0;6.0;5.733333333333333;Az Ii;Cambuur;Netherlands 2;2025-08-25;15:00:00;1.1833333333333333;1.585;15.63;18.21;5.32;3.79;6.38;7.833333333333334;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Casa Altos, Chutes Fora Altos, Chutes no Alvo Casa Altos
1.0;1.3;1.2;13.0;12.1;13.466666666666667;3.4;4.1;4.666666666666667;6.4;4.8;5.0;1.6;1.2;1.4;19.8;15.4;14.8;5.6;4.5;5.066666666666666;7.0;5.7;5.333333333333333;Hermannstadt;Ssc Farul;Romania 1;2025-08-25;13:00:00;0.6473333333333332;0.4754999999999999;13.73;23.75;4.4;6.28;8.83;5.7175;Mais de 7,5 Escanteios, Chutes Casa Altos, Chutes Fora Altos, Chutes no Alvo Fora Altos
1.6;1.6;1.6;11.4;11.4;11.4;4.4;4.4;4.4;4.2;4.2;4.2;2.0;1.8;1.4666666666666666;14.6;14.3;12.933333333333334;3.6;4.2;3.6666666666666665;6.8;6.1;5.866666666666666;Wisła Płock;Zagłębie Lubin;Poland 1;2025-08-25;14:00:00;1.2733333333333334;4.635833333333333;13.028000000000002;20.39;5.308249999999999;6.85;3.47;4.865;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Casa Altos, Chutes Fora Altos, Chutes no Alvo Casa Altos, Chutes no Alvo Fora Altos
1.6;1.4;1.4666666666666666;14.2;13.9;13.533333333333333;6.4;6.0;5.6;4.8;4.0;4.133333333333334;1.6;1.5;1.8;11.0;13.2;13.6;4.4;4.8;4.866666666666666;3.2;5.3;5.4;Nordsjælland;Viborg;Denmark 1;2025-08-25;14:00:00;1.5406666666666666;1.96;13.277333333333333;11.93;7.3;5.375587301587301;5.734333333333334;3.92;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Casa Altos, Chutes no Alvo Casa Altos, Chutes no Alvo Fora Altos
2.6;2.3;2.1333333333333333;15.6;14.9;14.466666666666667;6.6;6.0;5.4;6.4;6.6;5.8;0.8;1.2;1.2;10.4;10.6;11.333333333333334;3.8;4.4;4.8;2.8;3.6;3.8666666666666667;Beijing Guoan;Wuhan Three Towns;China 1;2025-08-25;09:00:00;2.936666666666667;0.06416666666666666;20.05;6.36;6.2;3.04;6.050000000000001;1.7475;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Casa Altos, Chutes no Alvo Casa Altos
1.8;1.5;1.6666666666666667;15.6;14.9;14.666666666666666;4.8;5.4;5.8;6.0;6.1;5.8;1.4;0.8;0.8;15.8;12.2;13.466666666666667;5.8;4.0;4.333333333333333;4.8;4.8;5.2;Flamengo;Vitória;Brazil 1;2025-08-25;21:00:00;1.9716666666666667;1.5245;16.48;15.81;4.79;4.08;4.39;5.06;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Casa Altos, Chutes Fora Altos
1.8;1.7;1.8666666666666667;12.6;13.4;14.6;4.0;4.3;5.2;3.6;5.2;6.0;1.4;0.8;0.6666666666666666;12.0;12.6;13.0;4.4;4.4;4.6;4.6;5.8;6.0;Palmeiras;Sport Recife;Brazil 1;2025-08-25;19:00:00;0.6556450216450217;1.8841666666666665;11.03;9.13;2.62;4.788333333333333;3.45;4.483333333333333;Mais de 1,5 Gols, Mais de 7,5 Escanteios
2.0;2.1;1.8;17.0;18.8;17.933333333333334;5.6;6.3;5.666666666666667;5.4;6.3;6.733333333333333;2.0;1.7;1.8;12.2;13.9;13.4;4.4;4.8;4.733333333333333;5.0;5.6;5.0;Gais;Mjällby;Sweden 1;2025-08-25;14:00:00;2.38;1.8559999999999999;13.46;11.39;5.57;4.3485000000000005;2.48;3.77;Mais de 1,5 Gols, Chutes Casa Altos, Chutes no Alvo Casa Altos
1.4;1.4;1.4666666666666666;15.6;16.2;15.266666666666667;5.2;5.8;5.866666666666666;5.8;7.4;6.2;0.6;1.0;1.0666666666666667;9.0;8.8;8.666666666666666;3.2;3.5;3.2;5.2;4.7;4.333333333333333;Sarpsborg 08;Kristiansund;Norway 1;2025-08-25;14:00:00;1.989187728937729;1.445142857142857;10.81;12.65;3.31;5.258500000000001;6.54;6.22;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Fora Altos, Chutes no Alvo Fora Altos
1.8;1.3;1.2666666666666666;11.0;12.7;12.533333333333333;5.4;4.7;4.6;3.2;4.2;4.4;1.4;1.4;1.3333333333333333;11.6;11.5;10.733333333333333;3.4;3.1;3.1333333333333333;4.4;4.5;3.7333333333333334;Avaí;Amazonas;Brazil 2;2025-08-25;21:30:00;1.5031904761904757;1.8751666666666664;9.66;12.045;3.13;4.2575;3.27;4.44;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Fora Altos
0.6;0.5;0.5333333333333333;12.0;13.2;12.2;2.6;3.2;3.466666666666667;4.4;5.9;4.866666666666666;1.4;1.3;1.0;12.4;12.1;12.0;3.6;4.1;3.8666666666666667;4.0;5.0;5.066666666666666;Botafogo Sp;Vila Nova;Brazil 2;2025-08-25;19:00:00;0.6177857142857142;2.277595238095239;10.87;9.6;2.0566666666666666;2.95;5.53;2.1546666666666665;Mais de 1,5 Gols, Mais de 7,5 Escanteios
0.8;0.9;0.7333333333333333;9.4;9.4;8.333333333333334;2.8;3.0;2.6;2.6;3.4;3.933333333333333;1.8;1.2;1.2666666666666666;12.2;11.5;10.866666666666667;4.8;4.1;3.933333333333333;5.2;4.8;4.933333333333334;Öster;Norrköping;Sweden 1;2025-08-25;14:00:00;0.698313492063492;1.7463333333333333;10.5;14.91;4.73;4.422;2.61;5.07;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Fora Altos
1.4;1.3;1.0;11.8;10.2;11.133333333333333;2.8;3.0;3.2;5.2;4.8;5.066666666666666;1.8;1.5;1.2;15.0;15.4;15.266666666666667;6.8;6.4;5.533333333333333;5.2;6.1;5.666666666666667;Guarani;Confiança;Brazil 3;2025-08-25;19:30:00;2.277595238095239;1.257666666666667;10.975;14.1;4.09;5.82;2.8;4.68;Mais de 1,5 Gols, Chutes Fora Altos, Chutes no Alvo Fora Altos
1.2;1.3;1.2;15.4;13.5;13.6;4.6;4.6;4.466666666666667;7.2;5.7;5.6;1.2;0.8;1.0;12.6;10.9;11.533333333333333;4.6;3.4;4.0;6.2;4.9;4.866666666666666;Csa;Ponte Preta;Brazil 3;2025-08-25;19:30:00;1.649166666666667;1.4828333333333332;10.24;12.62;2.316666666666667;5.19;7.84;5.4;Mais de 1,5 Gols, Mais de 7,5 Escanteios, Chutes Fora Altos, Chutes no Alvo Fora Altos
2.4;2.0;1.9333333333333333;14.4;13.3;12.866666666666667;5.2;4.6;4.6;4.2;3.6;4.0;1.2;1.3;1.0666666666666667;16.6;16.2;14.333333333333334;6.2;7.3;5.866666666666666;4.6;5.1;5.6;Levadiakos;Kifisia;Greece 1;2025-08-25;13:30:00;2.8325;0.8696666666666667;12.6;16.04;4.49;6.68;2.245;4.726666666666667;Mais de 1,5 Gols, Chutes Casa Altos, Chutes Fora Altos, Chutes no Alvo Fora Altos
